features,predicted_happiness_score
"[0.52168, 0.68042, 0.43079, 0.22423, 0.38291, 0.2721500224, 0.35496150560000006, 0.2247345272, 0.11697630640000001, 0.1997564888, 0.4629713764, 0.2931181318, 0.1525705766, 0.2605396222, 0.18558002410000002, 0.09659604170000001, 0.1649537989, 0.0502790929, 0.0858599093, 0.14662006809999997]",4.6492780678375185
"[0.478356659412384, 0.586682975292206, 0.172255352139473, 0.123717859387398, 0.533241033554077, 0.22882509360417552, 0.28064370819489787, 0.08239949481534214, 0.059181261926206756, 0.2550793994725353, 0.34419691349771525, 0.10105928250319268, 0.07258316184218144, 0.312843436113397, 0.029671906340693843, 0.021311063434718048, 0.09185362201007408, 0.015306108731399985, 0.06597143920883408, 0.2843459998658203]",4.7630319538231785
"[0.197, 1.051, 0.142, 0.08, 0.871, 0.038809, 0.207047, 0.027974, 0.01576, 0.17158700000000002, 1.104601, 0.14924199999999999, 0.08408, 0.9154209999999999, 0.020163999999999998, 0.011359999999999999, 0.12368199999999999, 0.0064, 0.06968, 0.758641]",5.345250212330342
"[0.518630743026733, 1.36135590076447, 0.325296461582184, 0.0089648161083459, 0.519983291625977, 0.26897784761246113, 0.7060410223373044, 0.16870874557433518, 0.004649429239369459, 0.2696793208974668, 1.8532898885462414, 0.4428442574727089, 0.012204305308365063, 0.707882322353956, 0.10581778791788932, 0.0029162229587798866, 0.1691487248477872, 8.036792785645814e-05, 0.004661554588839283, 0.27038262357018583]",6.119676584541898
"[0.3703, 1.02389, 0.07799, 0.16065, 0.64045, 0.13712209, 0.379146467, 0.028879697000000003, 0.059488695, 0.237158635, 1.0483507320999998, 0.0798531811, 0.1644879285, 0.6557503505, 0.0060824401, 0.0125290935, 0.0499486955, 0.025808422499999997, 0.10288829249999999, 0.4101762025]",5.641105352773982
"[0.23501, 0.34193, 0.18386, 0.05269, 0.1501, 0.0552297001, 0.0803569693, 0.043208938599999996, 0.0123826769, 0.035275001, 0.1169161249, 0.0628672498, 0.0180162917, 0.051323693000000004, 0.033804499599999996, 0.0096875834, 0.027597386, 0.0027762361, 0.007908769000000001, 0.022530010000000003]",4.145565219773736
"[0.376895278692245, 1.25278460979462, 0.326662421226501, 0.0822879821062088, 0.819479703903198, 0.142050051100505, 0.4721686046498987, 0.12311752428644562, 0.031013951948942034, 0.3088580313852342, 1.5694692785382585, 0.4092376539108079, 0.10308911755371347, 1.0266315610889787, 0.10670833744155998, 0.026880391472657156, 0.2676932242229948, 0.00677131199911174, 0.06743333121118765, 0.6715469851092731]",6.618739606776589
"[0.39031, 1.25142, 0.41474, 0.09081, 0.62366, 0.15234189609999998, 0.4884417402, 0.1618771694, 0.0354440511, 0.2434207346, 1.5660520164, 0.5190139308, 0.1136414502, 0.7804605971999999, 0.1720092676, 0.0376625394, 0.25865674839999997, 0.0082464561, 0.0566345646, 0.3889517956]",5.905512498293929
"[0.40663, 0.55507, 0.20338, 0.1553, 0.04476, 0.16534795689999998, 0.22570811409999997, 0.0827004094, 0.063149639, 0.0182007588, 0.30810270489999997, 0.1128901366, 0.08620237099999999, 0.0248449332, 0.0413634244, 0.031584914, 0.009103288800000001, 0.02411809, 0.006951228, 0.0020034576]",4.456420993049728
"[0.539, 0.721, 0.172, 0.093, 0.485, 0.29052100000000003, 0.388619, 0.092708, 0.050127000000000005, 0.261415, 0.519841, 0.12401199999999998, 0.067053, 0.34968499999999997, 0.029583999999999996, 0.015996, 0.08342, 0.008649, 0.045105, 0.235225]",5.4822912948011355
